name,Beauly,Peterhead,Errochty,Denny/Bonnybridge,Neilston,Strathaven,Torness,Eccles,Harker,Stella West,Penwortham,Deeside,Daines,Th. Marsh/Stocksbridge,Thornton/Drax/Eggborough,Keadby,Ratcliffe,Feckenham,Walpole,Bramford,Pelham,Sundon/East Claydon,Melksham,Bramley,London,Kemsley,Sellindge,Lovedean,S.W.Penisula
13/03/2022 23:00,183.0072329,240.2931539,69.68015651,598.055379,741.1515003,198.4438365,182.2810357,56.66656193,250.65948,1364.454452,711.1773463,1508.255605,1321.789738,1229.071341,970.0558061,374.1124967,948.9658506,2040.417031,554.4689335,661.3927751,378.9806888,1364.244304,2068.608701,647.1470139,4330.094062,706.7269318,363.3127704,951.8585444,1261.154037
14/03/2022 00:00,166.0671137,218.0503463,63.230192,542.6962041,672.5465902,180.0748235,165.4081372,51.42120469,227.4571103,1238.153318,645.3470027,1368.643474,1199.437876,1115.301985,880.2623005,339.4826617,861.1245431,1851.545218,503.144351,600.1707552,343.9002281,1237.962622,1877.127318,587.2436572,3929.277611,641.3085421,329.6826153,863.7494738,1144.414937
14/03/2022 01:00,149.8475965,196.7537074,57.05459729,489.6919082,606.8600086,162.487195,149.2529812,46.39897544,205.2417274,1117.224805,582.3169626,1234.97019,1082.29064,1006.372171,794.2884479,306.325917,777.0198455,1670.707671,454.0030232,541.5530091,310.3120266,1117.052734,1693.791207,529.8884807,3545.511166,578.6729322,297.4830259,779.3884034,1032.641706
14/03/2022 02:00,144.5378993,189.7819399,55.03292568,472.3401736,585.3565416,156.7296266,143.9643536,44.75487495,197.9691956,1077.637081,561.6831535,1191.210278,1043.940772,970.7123974,766.1436448,295.4715698,749.4869378,1611.507844,437.915888,522.3636292,299.3164356,1077.471107,1633.773438,511.1124215,3419.879585,558.1682456,286.9420176,751.7715682,996.051098
14/03/2022 03:00,145.8060153,191.4470085,55.51576188,476.4842916,590.4922186,158.1047077,145.2274375,45.14753578,199.7060957,1087.091824,566.6111299,1201.661466,1053.099878,979.2290278,772.8654734,298.0639156,756.0626273,1625.64655,441.7579815,526.9466324,301.9425146,1086.924394,1648.107493,515.5967112,3449.884199,563.0653837,289.4595286,758.3673021,1004.79004
14/03/2022 04:00,135.3693218,177.7433644,51.54198215,442.3778765,548.2251951,146.7876824,134.8321583,41.91590647,185.4112719,1009.278546,526.0534982,1115.647371,977.7197195,909.1364931,717.5442988,276.7287072,701.9441888,1509.283897,410.1372515,489.2281579,280.3296788,1009.1231,1530.137102,478.6906562,3202.94388,522.7615541,268.7402162,704.0838965,932.8678655
14/03/2022 05:00,132.0875298,173.4342879,50.29243708,431.6531998,534.9344357,143.2290722,131.5633888,40.89972875,180.9163004,984.8103554,513.3002527,1088.600455,954.0166177,887.0960715,700.1486943,270.0199045,684.9267816,1472.693953,400.1941923,477.3676782,273.5335769,984.6586782,1493.041608,467.0856398,3125.294117,510.088116,262.2250805,687.0146159,910.2521184
14/03/2022 06:00,135.2649086,177.6062671,51.50222673,442.0366611,547.8023374,146.6744619,134.7281594,41.88357585,185.2682603,1008.500068,525.647742,1114.786849,976.9655836,908.4352569,716.9908417,276.5152605,701.4027644,1508.119755,409.820904,488.8508059,280.1134546,1008.344742,1528.956875,478.3214319,3200.473382,522.358337,268.5329312,703.5408217,932.1483248
14/03/2022 07:00,145.037173,190.437499,55.22302455,473.9717666,587.3785242,157.2710138,144.4616461,44.90947061,198.6530357,1081.359536,563.6233617,1195.325046,1047.546831,974.0655052,768.7901158,296.4922099,752.075872,1617.074436,439.42857,524.168017,300.350357,1081.192989,1639.416941,512.8779444,3431.69279,560.0963123,287.9331943,754.3683941,999.4917326
14/03/2022 08:00,162.2802357,213.078079,61.78833503,530.3209404,657.2103092,175.9685235,161.636286,50.24863159,222.2703379,1209.919338,630.6309621,1337.433888,1172.086735,1089.869421,860.1894161,331.741337,841.4880627,1809.323879,491.671,586.4848821,336.0581684,1209.73299,1834.322623,573.8525645,3839.677119,626.6845918,322.164764,844.0531364,1118.318501
